,subj,rel,obj,text
2004,Republican rank-and-file voters,adore,Donald Trump,"Republican rank-and-file voters have continued to adore Donald Trump's, attend Donald Trump's's rallies and punish the few apostates within the party who dare to deride Donald Trump's."
2005,a Donald Trump's-style populist,lose,a the Senate race,It was similar in New Hampshire where a Donald Trump's-style populist lost a the Senate race while the more standard-issue Republican governor was re-elected by 16 points.
2006,Murdoch's New York tabloid,lose,Marvin Gentry,"(Marvin Gentry/Reuters)Lest the point be lost on anyone, Murdoch's New York tabloid — Donald Trump's's favourite newspaper — illustrated the point in a front-page drawing."
2007,Georgia's lieutenant-governor,be,CNN,"""Meanwhile, Georgia's lieutenant-governor, Geoff Duncan — a persistent Donald Trump's critic who has called Donald Trump's unfit for office — told CNN as a disappointingly close midterm election for the Republican Party where Trump's allies struggled rolled in: ""This is truly a pivot point for the party."
2008,Donald Trump's's allies,turn,Donald Trump,Donald Trump's's allies will argue that Donald Trump's turned out record numbers of Republican voters (while also turning out record numbers of Democrats).
2009,Donald Trump,owe,Donald Trump's spread conspiracy theories,"On Donald Trump's's own social media site, Truth Social, Donald Trump's blasted Donald Trump's's critics in a string of posts: On the Murdoch's New York tabloid — Trump's favourite newspaper — headline, Donald Trump's said other Republicans in the U. S.  Congress failed to deliver the wall with Mexico, not Donald Trump's; Donald Trump's said Fox owes Fox's success to his closest Republican rival, Florida Gov.  Ron DeSantis; Donald Trump's spread conspiracy theories about this week's midterm elections; and Donald Trump's mocked his closest Republican rival, Florida Gov.  Ron DeSantis."
2010,Donald Trump,owe,Donald Trump's spread conspiracy theories,"On Donald Trump's's own social media site, Truth Social, Donald Trump's blasted Donald Trump's's critics in a string of posts: On the Murdoch's New York tabloid — Trump's favourite newspaper — headline, Donald Trump's said other Republicans in the U. S.  Congress failed to deliver the wall with Mexico, not Donald Trump's; Donald Trump's said Fox owes Fox's success to his closest Republican rival, Florida Gov.  Ron DeSantis; Donald Trump's spread conspiracy theories about this week's midterm elections; and Donald Trump's mocked his closest Republican rival, Florida Gov.  Ron DeSantis."
2011,Donald Trump's's Praetorian Guard,turn,Donald Trump,"We'll know Donald Trump's has real troubles if Donald Trump's's Praetorian Guard of media commentators turn on Donald Trump's: the Fox Business prime-time TV hosts, Tucker Carlson, Sean Hannity and Laura Ingraham."
2012,owner Dan Snyder,lie,owner Dan Snyder's knowledge,"The attorney general for the District of Columbia said the the Washington Commanders and the NFL violated D. C.  consumers' rights based on what the team and league knew about the organization's's workplace misconduct, alleging owner Dan Snyder lied about owner Dan Snyder's knowledge of the situation."
2013,owner Dan Snyder,own,the Washington Commanders,"The attorney general for the District of Columbia said owner Dan Snyder is still a defendant, even if owner Dan Snyder sells the Washington Commanders, because owner Dan Snyder owned the Washington Commanders at the time of the organization's workplace misconduct."
2014,owner Dan Snyder,hire,owner Dan Snyder,owner Dan Snyder announced last week owner Dan Snyder hired Bank of America Securities to look into selling part or all of the Washington Commanders.
2015,Joe Biden'd,do,Joe Biden,"But when a reporter asked Joe Biden what Joe Biden'd do differently now, Joe Biden replied cheerfully: ""Nothing,"" then went on to list Joe Biden's legislative achievements."
2016,Republicans,net,Republicans,Republicans netted far fewer seats than average for an opposition party; Republicans may barely win the U. S.  House of Representatives and may not win the Senate at all.
2017,Donald Trump's's hardest-core allies,lose,Georgia,"Donald Trump's's hardest-core allies lost or under-performed, as in the Wisconsin gubernatorial race, and Georgia and the Senate races."
2018,Wisconsin's re-elected Democratic governor,re,-elected Democratic governor's victory speech,"""You showed up because you saw our democracy was on the brink,"" Wisconsin's re-elected Democratic governor said in Wisconsin's re-elected Democratic governor's victory speech."
2019,Geoff Duncan,be,CNN,"""This is truly a pivot point for the GOP,"" Geoff Duncan, a Donald Trump's critic and Republican lieutenant-governor of Georgia, told CNN."
2020,Alberto Fernández,feel,Macron,"With the face-to-face meeting with the French leader, Alberto Fernández is once again illustrating the closeness and kinship Alberto Fernández feels with Macron, whom Alberto Fernández often calls a ""friend. """
2021,President Emmanuel Macron,reshuffle,President Emmanuel Macron's pack,"Read more. . . President Emmanuel Macron reshuffles President Emmanuel Macron's pack with ‘militant women’ Nevertheless, before departure, the government coalition tried to show off a picture of unity."
2022,Patricia Bullrich,live,the Santiago Maldonado case,"""Milman – who previously worked at the Security Ministry during Mauricio Macri’s 2015-2019 administration was Patricia Bullrich's deputy security minister and at the time Patricia Bullrich's lived through the Santiago Maldonado case and Patricia Bullrich's saw for months that they gathered in crowded squares” Milman – who previously worked at the Security Ministry during Mauricio Macri’s 2015-2019 administration said. """
2023,Donald Trump's chief potential rival,undercut,Trump's early entry,"Trump's early entry into the race may also be intended to undercut Donald Trump's chief potential rival for the Republican presidential nomination, Florida Governor Ron DeSantis, who emerged as one of the biggest winners from Tuesday's midterms."
2024,Donald Trump,have,the Florida governor,"Donald Trump clearly has the Florida governor, a one-time ally, in Donald Trump's sights, referring to his chief potential rival for the Republican presidential nomination, Florida Governor Ron DeSantis, who emerged as one of the biggest winners from Tuesday's midterms by a derogatory nickname - Ron De-Sanctimonious - and belittling his chief potential rival for the Republican presidential nomination, Florida Governor Ron DeSantis, who emerged as one of the biggest winners from Tuesday's midterms's election victory."
2025,Russian forces,choke,the west bank,It had been apparent for some time to intelligence agencies and those watching the war closely that Ukraine strategy to slowly corrode and choke Russian forces in the west bank of the Dnieper River in Ukraine was working.
2026,Ukraine,know,Ukraine's enemy,Ukraine know Ukraine's enemy well.
2027,Arizona,morph,a GOP stronghold,"But as Arizona has morphed from a GOP stronghold to a competitive battleground, the delays have increasingly become a source of national anxiety for partisans on both sides."
2028,Florida Governor Ron DeSantis,run,the Republican party's's 2024 White House nomination,Florida Governor Ron DeSantis is widely expected to run for the Republican party's's 2024 White House nomination.
2029,Ex-US President Donald Trump,fix,Florida Governor Ron DeSantis's campaign,"""Ex-US President Donald Trump also fixed Florida Governor Ron DeSantis's campaign, which had completely fallen apart. """
2030,Mr DeSantis,nickname,Ex-US President Donald Trump,"Ex-US President Donald Trump went on to complain that Mr DeSantis - whom Ex-US President Donald Trump is nicknaming ""Ron DeSanctimonious"" - was ""playing games"" by refusing to rule out a presidential bid."
2031,Ex-US President Donald Trump,sink,the Republican party,"At the time, Republican leaders feared Ex-US President Donald Trump would be a disastrous standard-bearer, that Ex-US President Donald Trump would sink the Republican party's and doom Republican leaders to defeat."
2032,US President Joe Biden,do,Chinese leader Xi Jinping,"""US President Joe Biden'm sure US President Joe Biden and Chinese leader Xi Jinping'll discuss Taiwan. . .  and what US President Joe Biden want to do with Chinese leader Xi Jinping when US President Joe Biden and Chinese leader Xi Jinping talk is lay out. . .  what each of US President Joe Biden and Chinese leader Xi Jinping's red lines are,"" US President Joe Biden said at a press conference on Thursday after the White House confirmed The much-awaited meeting."
2033,the White House,roll,US President Joe Biden's comments,"But the White House has always rolled back US President Joe Biden's comments, insisting that The US's stance of ""strategic ambiguity"" - under which The US does not commit to defending Taiwan but also does not rule out the option - remains unchanged."
2034,Chinese leader Xi Jinping,focus,the People's Liberation Army,"Meanwhile Chinese leader Xi Jinping has told the People's Liberation Army (PLA) to ""focus all energy on fighting a war. . .  and build the ability to win"", according to state media reports earlier this week."
2035,Beijing's's foreign ministry,work,The US,"Meanwhile, Beijing's's foreign ministry said The US should work together with Beijing's to avoid misunderstandings and misjudgements, adding that while Beijing's wants peace with The US, ""the Taiwan question"" is at the core of Beijing's's interests."
2036,Dr Robin Lamboll,remind,the UN climate summit COP27,"Dr Robin Lamboll, Research Associate in Climate Science and Policy at Imperial College London said: ""a new report should remind negotiators at the UN climate summit COP27 in the Egyptian resort of Sharm el-Sheikh, where countries are in the middle of climate change negotiations that negotiators at COP27's actions so far have been inadequate. """
2037,The Idy Niang,discover,Senegal,"The Idy Niang, head of climate change programme, Department of the Environment, Senegal told the BBC at the UN climate summit COP27 in the Egyptian resort of Sharm el-Sheikh, where countries are in the middle of climate change negotiations: ""Senegal just discovered gas and petroleum, and Senegal start exporting gas and petroleum, so Senegal cannot abandon gas and petroleum as Senegal are LDC and need to enforce Senegal's economy for development. """
2038,Arizona's attorney general,wrap,Arizona's attorney general,Arizona's attorney general says Arizona's attorney general's wrapped up Arizona's attorney general's investigation and there's no evidence of fraud.
2039,Lev Gershenzon,type,the Ukrainian city,"Shortly after 20 people were killed in a Russian missile attack on the Ukrainian city of Kremenchuk in June, Lev Gershenzon - a former manager at Russian tech company Yandex - typed the Ukrainian city of Kremenchuk's name into Russian tech company Yandex's search engine to find out more."
2040,Lev Gershenzon,type,the Ukrainian city,"Shortly after 20 people were killed in a Russian missile attack on the Ukrainian city of Kremenchuk in June, Lev Gershenzon - a former manager at Russian tech company Yandex - typed the Ukrainian city of Kremenchuk's name into Russian tech company Yandex's search engine to find out more."
2041,Lev Gershenzon,be,the BBC,"""The sources that ranked at the top of the page were strange and obscure,"" Lev Gershenzon - a former manager at Russian tech company Yandex - told the BBC."
2042,Russian tech company Yandex,run,Russia's largest search engine,Russian tech company Yandex runs Russia's largest search engine and presents Russian tech company Yandex as independent of the authorities.
2043,Google,reflect,Google's search,"Google told BBC Monitoring that Google's search ""reflects the content that is available on the open web"", and Google's algorithm is trained to ""prominently surface high quality information from reliable sources""."
2044,Alexei Sokirko,cleanse,Yandex's search results,"""They [the authorities] can cleanse Yandex's search results completely,"" Alexei Sokirko, a former Russian tech company Yandex developer, told BBC Monitoring."
2045,Russian tech company Yandex,choose,Russian users,"Finally, Russian tech company Yandex may be reflecting the fact Russian users Russian users themselves are choosing pro-Kremlin content."
2046,US prosecutor Andrew Adams,sit,US prosecutor Andrew Adams's New York office,"As missiles rained down on Ukraine in the early days of the war, US prosecutor Andrew Adams was sitting in US prosecutor Andrew Adams's New York office with a list of Kremlin-connected billionaires and Kremlin-connected billionaires's luxury assets."
2047,the FBI,list,the FBI's reasons,"the FBI listed the FBI's reasons for believing billionaire Russian politician Suleiman Kerimov was one of the world's most expensive superyachts's ""true beneficial owner,"" although many of the details have been redacted in a copy published by The US."
2048,US,treat,Russia,"23:13pm: US to no longer treat Russia as a market economy in anti-dumping proceedingsThe United States will no longer treat Russia as a market economy in anti-dumping proceedingsThe United States's anti-dumping proceedings, the US Department of Commerce This decision on Thursday."
2049,SpaceX,incur,Ukraine,"SpaceX owner Elon Musk, who recently acquired Twitter Inc, had previously complained publicly of the financial losses SpaceX was incurring in Ukraine, but later promised on Twitter Inc to keep providing services ""for free. """
2050,Ukraine's defence minister,think,Ukraine's defence minister,"But Ukraine's defence minister think this is not a pragmatic and practical step for Russia,"" Ukraine's defence minister told Reuters."
2051,FRANCE 24 Chief Foreign Editor Robert Parsons,think,the Ukrainian side,"""From the Ukrainian side, FRANCE 24 Chief Foreign Editor Robert Parsons think the Ukrainians're understandably cautious, because there's been a lot of smoke and mirrors from Russia over the last few weeks, and the Ukrainians don't want to be sucked into a trap."
2052,Russia,turn,Kherson region,"10:58am: President [Volodymyr] Zelensky adviser says Russia has mined Kherson region's, plans to shell Kherson region's Zelensky adviser the comment on Thursday that Russia wanted to turn Kherson region's into a ""city of death"" and accused Russia's forces of mining everything from apartments to sewers and planning to shell Kherson region's from the other side of the vast Dnipro River."
2053,even the hugely influential Fox News television network's biggest star,assail,the Republican establishment,"But even the hugely influential Fox News television network's biggest star, talk-show host Tucker Carlson, assailed the Republican establishment for Tuesday's's ballot box failures and at least partly blamed Trump."
2054,the Republican Party,trounce,President Joe Biden's Democrats,But the Republican Party's had expected to more powerfully trounce President Joe Biden's Democrats and easily seize both the House of Representatives and the Senate -- still undecided -- as well as some key governorships.
2055,Trump,write,Trump's Truth Social platform,"For Trump, Fox News was always gone,"" Trump wrote on Trump's Truth Social platform."
2056,the Wall Street Journal,love,Low Energy Jeb Bush,"the Wall Street Journal ""loved Low Energy Jeb Bush, and a succession of other people"" but Trump said Trump ""easily knocked Low Energy Jeb Bush, and a succession of other people out, one by one,"" and the Murdoch's properties fell into line."
2057,Douglas Farrar,track,Reuters,"Warning""We are tracking recent developments at Twitter with deep concern,"" Douglas Farrar, The U. S.  Federal Trade Commission's director of public affairs, told Reuters."
2058,Jinko,work,CBP,"In an email, Jinko said Jinko is working with CBP on documentation proving Jinko's supplies are not linked to forced labor and is ""confident the shipments will be admitted. """
2059,the Biden administration,decarbonize,the U. S.  economy,"The bottleneck is a challenge to U. S.  solar development at a time the Biden administration is seeking to decarbonize the U. S.  economy and implement the Inflation Reduction Act (IRA), a new law that encourages clean energy technologies to combat climate change."
2060,the American Clean Power Association trade group,streamline,the Biden administration,the American Clean Power Association trade group urged the Biden administration to streamline the vetting process for imports.
2061,Saied,sack,the the Islamist-inspired Ennahdha party,"Ghannouchi has harshly criticised Saied's July 2021 power grab, during which Saied sacked the the Islamist-inspired Ennahdha party that dominated Tunisian politics for a decade until Saied staged a power grab in mid-2021-supported government and seized full executive authority."
2062,the France,download,""" paper=""tass""><Text>OTTAWA","Download the France 24 app</Text></Article><Article url=""https://tass.com/world/1535117"" paper=""tass""><Text>OTTAWA, November 11."
2063,the White House,think,US President Joe Biden,"""US President Joe Biden don’t think the situation around Ukraine will be resolved until [Russian President Vladimir] Putin gets out of Ukraine,"" the White House quoted US President Joe Biden as telling reporters before departing for a foreign trip on Thursday."
2064,The US authorities,work,White House National Security Adviser Jake Sullivan,"The US authorities are not pushing the Kiev government into reconciliation talks with Russia, instead The US authorities work with the Kiev government as partners, White House National Security Adviser Jake Sullivan said."
2065,Ukrainian President Vladimir Zelensky,backtrack,Ukrainian President Vladimir Zelensky's earlier claim,"Ukrainian President Vladimir Zelensky had to backtrack on Ukrainian President Vladimir Zelensky's earlier claim about the impossibility of talks with Russian President Vladimir Putin’s governent ""due to soft nudging by the Biden administration,"" the Politico newspaper wrote on Tuesday citing own sources."
2066,the US government,do,all that US Department,"US Department of State Spokesperson Ned Price went on to say that the US government and diplomats were ""engaging to do all that US Department of State can to ensure that US citizens Brittney Griner's conditions are as safe, as healthy as can be during this time. """
2067,Lawyer Maria Blagovolina,be,TASS,"Lawyer Maria Blagovolina told TASS on Wednesday that US citizens Brittney Griner, had been Griner’s transfer to a penal colony from a pre-trial detention center to a penal colony where US citizens Brittney Griner is to serve US citizens Brittney Griner's sentence."
2068,US citizens Brittney Griner,play,US citizens Brittney Griner's arrest,"Before US citizens Brittney Griner's arrest, US citizens Brittney Griner played for Russia's Yekaterinburg professional basketball club."
2069,Republican rank-and-file voters,adore,Donald Trump,"Republican rank-and-file voters have continued to adore Donald Trump's, attend Donald Trump's's rallies and punish the few apostates within the party who dare to deride Donald Trump's."
2070,a Donald Trump's-style populist,lose,a the Senate race,It was similar in New Hampshire where a Donald Trump's-style populist lost a the Senate race while the more standard-issue Republican governor was re-elected by 16 points.
2071,Murdoch's New York tabloid,lose,Marvin Gentry,"(Marvin Gentry/Reuters)Lest the point be lost on anyone, Murdoch's New York tabloid — Donald Trump's's favourite newspaper — illustrated the point in a front-page drawing."
2072,Georgia's lieutenant-governor,be,CNN,"""Meanwhile, Georgia's lieutenant-governor, Geoff Duncan — a persistent Donald Trump's critic who has called Donald Trump's unfit for office — told CNN as a disappointingly close midterm election for the Republican Party where Trump's allies struggled rolled in: ""This is truly a pivot point for the party."
2073,Donald Trump's's allies,turn,Donald Trump,Donald Trump's's allies will argue that Donald Trump's turned out record numbers of Republican voters (while also turning out record numbers of Democrats).
2074,Donald Trump,owe,Donald Trump's spread conspiracy theories,"On Donald Trump's's own social media site, Truth Social, Donald Trump's blasted Donald Trump's's critics in a string of posts: On the Murdoch's New York tabloid — Trump's favourite newspaper — headline, Donald Trump's said other Republicans in the U. S.  Congress failed to deliver the wall with Mexico, not Donald Trump's; Donald Trump's said Fox owes Fox's success to his closest Republican rival, Florida Gov.  Ron DeSantis; Donald Trump's spread conspiracy theories about this week's midterm elections; and Donald Trump's mocked his closest Republican rival, Florida Gov.  Ron DeSantis."
2075,Donald Trump,owe,Donald Trump's spread conspiracy theories,"On Donald Trump's's own social media site, Truth Social, Donald Trump's blasted Donald Trump's's critics in a string of posts: On the Murdoch's New York tabloid — Trump's favourite newspaper — headline, Donald Trump's said other Republicans in the U. S.  Congress failed to deliver the wall with Mexico, not Donald Trump's; Donald Trump's said Fox owes Fox's success to his closest Republican rival, Florida Gov.  Ron DeSantis; Donald Trump's spread conspiracy theories about this week's midterm elections; and Donald Trump's mocked his closest Republican rival, Florida Gov.  Ron DeSantis."
2076,Donald Trump's's Praetorian Guard,turn,Donald Trump,"We'll know Donald Trump's has real troubles if Donald Trump's's Praetorian Guard of media commentators turn on Donald Trump's: the Fox Business prime-time TV hosts, Tucker Carlson, Sean Hannity and Laura Ingraham."
2077,Russian troops,ditch,Russian troops's uniforms,"But Ukrainians painted a picture of a chaotic retreat, with Russian troops ditching Russian troops's uniforms, dropping weapons and drowning while trying to flee."
2078,clearedUkraine,retake,agoDuration 2:22Ukraine's president,WATCH | clearedUkraine's retakes swath of Kherson region: clearedUkraine's retakes swath of Kherson region as Russia retreats15 days agoDuration 2:22Ukraine's president says 2:22Ukraine's has recaptured 41 settlements in the Kherson region amid Russia's retreat from Kherson.
2079,clearedUkraine,retake,agoDuration 2:22Ukraine's president,WATCH | clearedUkraine's retakes swath of Kherson region: clearedUkraine's retakes swath of Kherson region as Russia retreats15 days agoDuration 2:22Ukraine's president says 2:22Ukraine's has recaptured 41 settlements in the Kherson region amid Russia's retreat from Kherson.
2080,Russia's Defence Ministry,finish,Russia's Defence Ministry,"Earlier, Russia's Defence Ministry said Russia's Defence Ministry had finished Russia's Defence Ministry's withdrawal from the western bank of the Dnipro River, where Kherson lies, two days after Russia announced The withdrawal."
2081,NASA's new $4 billion moon rocket,ride,NASA's new $4 billion moon rocket's Florida launchpad,"CBC Investigates'Crypto King' narrowly avoids arrest by handing over cellphones to bankruptcy proceeding</Text></Article><Article url=""https://timesofindia.indiatimes.com/world/us/nasas-new-moon-rocket-tested-by-hurricane-force-winds-at-florida-launchpad/articleshow/95442961.cms"" paper=""it""><Text>NASA's new $4 billion moon rocket endured fierce winds and heavy rains early Thursday as NASA's new $4 billion moon rocket rode out Hurricane Nicole on NASA's new $4 billion moon rocket's Florida launchpad, apparently with only minor damage, according to an early NASA's inspection in Hurricane Nicole's aftermath."
2082,NASA's officials,design,NASA's new $4 billion moon rocket,"NASA's new $4 billion moon rocket is designed to withstand exposure on its Florida launchpad to winds of up 85 mph, NASA's officials said before Hurricane Nicole."
2083,NASA,batten,NASA's new $4 billion moon rocket,"Rather than trying to roll NASA's new $4 billion moon rocket back to NASA's new $4 billion moon rocket's hangar before Hurricane Nicole struck, NASA's had opted to batten down NASA's new $4 billion moon rocket at the launchpad where NASA's new $4 billion moon rocket arrived last week prior to Hurricane Nicole's emerging in the forecast as a tropical storm."
2084,NASA,roll,NASA's new $4 billion moon rocket,NASA's rolled out NASA's new $4 billion moon rocket to NASA's new $4 billion moon rocket's launchpad last Thursday for a planned Nov.
2085,NASA,roll,NASA's new $4 billion moon rocket,NASA's rolled out NASA's new $4 billion moon rocket to NASA's new $4 billion moon rocket's launchpad last Thursday for a planned Nov.
2086,NASA's new $4 billion moon rocket,store,NASA's's Vehicle Assembly Building,"Hurricane Nicole took shape as a potential tropical storm as NASA's new $4 billion moon rocket arrived at the pad, roughly 4 miles from where NASA's new $4 billion moon rocket had been stored inside NASA's's Vehicle Assembly Building."
2087,China’s daily Covid infections,exceed,BEIJING,"BEIJING: China’s daily Covid infections exceeded 10,000 for the first time since April, with BEIJING:'s cases at the highest level in more than a year, as China’s's top leaders urged more targeted restrictions aimed at controlling Covid."
2088,Democratic officials,be,Reuters,"Vice President Kamala Harris is currently the top alternate candidate, Democratic officials tell Reuters, with the majority of opinion polls showing Vice President Kamala Harris's second after President Joe BidenDemocratic President Joe Biden and well ahead of other potential Democratic candidates."
2089,US representative Liz CheneyRepublican US Representative Liz Cheney,do,US representative Liz CheneyRepublican US Representative Liz Cheney,"US representative Liz CheneyRepublican US Representative Liz Cheney, 56, has vowed to do everything US representative Liz CheneyRepublican US Representative Liz Cheney, 56, can to keep Former president Donald TrumpRepublican former President Donald Trump from returning to White House and said US representative Liz CheneyRepublican US Representative Liz Cheney, 56, would decide soon on whether to run for president US representative Liz CheneyRepublican US Representative Liz Cheney, 56,."
2090,US representative Liz CheneyRepublican US Representative Liz Cheney,lose,the Republican Party's nominating election,"US representative Liz CheneyRepublican US Representative Liz Cheney, 56, lost the Republican Party's nominating election, or primary, for Wyoming's single seat in Congress in August to a Former president Donald TrumpRepublican former President Donald Trump-backed challenger after saying Wyoming's would not ""go along with Former president Donald TrumpRepublican former President Donald Trump's lie about the 2020 election"" to win."
2091,US representative Liz CheneyRepublican US Representative Liz Cheney,lose,the Republican Party's nominating election,"US representative Liz CheneyRepublican US Representative Liz Cheney, 56, lost the Republican Party's nominating election, or primary, for Wyoming's single seat in Congress in August to a Former president Donald TrumpRepublican former President Donald Trump-backed challenger after saying Wyoming's would not ""go along with Former president Donald TrumpRepublican former President Donald Trump's lie about the 2020 election"" to win."
2092,Transportation secretary Pete ButtigiegPete Buttigieg,vie,the 2020 Democratic presidential nomination,"Transportation secretary Pete ButtigiegPete Buttigieg vied for the 2020 Democratic presidential nomination before bowing out and endorsing Biden, who later named Transportation secretary Pete ButtigiegPete Buttigieg transportation secretary."
2093,Sabrina Singh,be,Congress,"“Sabrina Singh, a Pentagon spokeswoman, think there is, in Congress, on both sides of the aisle, a commitment to Ukraine that we're in this for the long haul,” Sabrina Singh, a Pentagon spokeswoman, said."
2094,President Joe Biden,propel,President Joe Biden,"While President Joe Biden has said President Joe Biden will hold off on a confirmation until ""early next year,"" President Joe Biden has already laid a strong foundation to appeal to the electorate via reforms President Joe Biden hopes will propel President Joe Biden beyond President Joe Biden's current low approval rating of 41 percent, according to polling aggregator FiveThirtyEight."
2095,President Joe Biden,propel,President Joe Biden,"While President Joe Biden has said President Joe Biden will hold off on a confirmation until ""early next year,"" President Joe Biden has already laid a strong foundation to appeal to the electorate via reforms President Joe Biden hopes will propel President Joe Biden beyond President Joe Biden's current low approval rating of 41 percent, according to polling aggregator FiveThirtyEight."
2096,President Joe Biden,feel,former opponent Donald Trump,"There is no rush to declare, President Joe Biden feels, even as former opponent Donald Trump, repeatedly promotes a ""big announcement"" next Tuesday."
2097,President Joe Biden,have,Congress,"Even so, ""being the leader of the Republicans', it would be political malpractice for President Joe Biden to announce now that President Joe Biden was not seeking reelection because it would destroy any remaining leverage President Joe Biden has over Congress and in the public arena,"" political science professor Wendy Schiller of Brown University said."
2098,Florida Governor Ron DeSantis,cement,the Republican Party's top rising star,"WASHINGTON: Florida Governor Ron DeSantis arguably had the best night of anyone on Election Day, trouncing Florida Governor Ron DeSantis's Democratic opponent on Florida Governor Ron DeSantis's way to re-election and cementing Florida Governor Ron DeSantis as the Republican Party's top rising star."
2099,the former football star Donald Trump,recruit,Donald Trump's run-off,""" Some Republicans are concerned Donald Trump could doom the chances of Herschel Walker, the former football star Donald Trump recruited to run for the Senate in Georgia, in Donald Trump's run-off against Senator Raphael Warnock next month."
2100,the former football star Donald Trump,run,the Senate,""" Some Republicans are concerned Donald Trump could doom the chances of Herschel Walker, the former football star Donald Trump recruited to run for the Senate in Georgia, in Donald Trump's run-off against Senator Raphael Warnock next month."
2101,Republican U. S.  Representative Mo Brooks,implore,Donald Trump,Republican U. S.  Representative Mo Brooks on Thursday implored Donald Trump to stay out of the Governor's race.
2102,the Taliban,live,the Taliban's commitments,a resolution reaffirms The UN General Assembly's expectation that the Taliban will live up to the Taliban's commitments to allow the safe departure of all Afghans and foreign nationals that want to leave the country.
2103,Thirteen-year-old Zainab,be,AFP,"my husband will be physically violent with Thirteen-year-old Zainab,"" Thirteen-year-old Zainab told AFP."
2104,Fatima,be,Fatima,"""Fatima, 19's conscience tells Fatima, 19 that it's better to marry than be a burden on Fatima, 19's family,"" Fatima, 19 said."
2105,Donald Trump,single,Florida Governor Ron DeSantis,"In Donald Trump's salvo, Donald Trump singled out Florida Governor Ron DeSantis."
2106,Donald Trump,single,Florida Governor Ron DeSantis,"In Donald Trump's salvo, Donald Trump singled out Florida Governor Ron DeSantis."
2107,Russian forces,choke,the west bank,It had been apparent for some time to intelligence agencies and those watching the war closely that Ukraine strategy to slowly corrode and choke Russian forces in the west bank of the Dnieper River in Ukraine was working.
2108,Ukraine,know,Ukraine's enemy,Ukraine know Ukraine's enemy well.
2109,Authorities,have,Itaewon,Authorities said Authorities had 137 officers on the ground at Itaewon that night.
2110,American officials,soften,Ukraine's leaders,US media recently claimed that American officials had encouraged Ukraine's leaders to soften Ukraine's leaders's stance on negotiating.
2111,Russia,exit,Kherson,"Ukraine claims major gains as Russia exits Kherson When asked about the mass graves found in Izyum in the Kharkiv region, its top prosecutor said there were signs of wilful killing and torture ""in practically every village and every town""."
2112,Elon Musk,run,"Twitter</Text></Article><Article url=""https://www.bbc.co.uk/news/world-us-canada-63597343?at_medium=RSS&amp;at_campaign=KARANGA","Hardik Pandya’s story of pain, grit and glory Film on India women in Islamic State sparks rowCan India really adopt a climate-friendly lifestyle?India shocked as men sentenced to death for rape freedIndia's 'Florence Nightingale' saves life mid-airThe Indian-American 'helping' Elon Musk run Twitter</Text></Article><Article url=""https://www.bbc.co.uk/news/world-us-canada-63597343?at_medium=RSS&amp;at_campaign=KARANGA"" paper=""bbc""><Text>nan</Text></Article><Article url=""https://www.spiegel.de/international/world/it-s-as-if-we-never-existed-namibia-continues-seeking-justice-for-germany-s-colonial-era-genocide-a-57e3dbc5-8f51-476a-a692-bf2b036fcfc0#ref=rss"" paper=""spiegel""><Text>  The pain comes on suddenly, says Kambanda Nokokure Veii."
2113,German soldiers,hang,Kambanda Nokokure,"The pain comes when Kambanda Nokokure Veii is driving through the steppe of central Namibia, past the trees where German soldiers hanged Kambanda Nokokure Veii's ancestors."
2114,the Herero,rise,the German colonial regime,"More than a century has passed since the Herero and Nama rose up against the German colonial regime in Namibia, then called German South West Africa."
2115,Ukrainian troops,reclaim,southern Ukraine,"FRANCE 24's Luke Shrago reports: 02:56   10:32pm: Emmanuel Macron welcomes 'Kherson's return to Ukraine President Emmanuel Macron welcomed ""Kherson's return to Ukraine"", after Ukrainian troops reclaimed this important city in southern Ukraine."
2116,Kherson,write,ZelenskyUkrainian President Volodymyr Zelensky,"Kherson,"" ZelenskyUkrainian President Volodymyr Zelensky wrote on Telegram alongside a Ukraine flag emoji and amateur video footage that appeared to show Ukrainian troops gathering with Kherson's residents."
2117,the Ukrainian flag,hoist,Kherson,"Residents are hoisting the Ukrainian flag across Kherson, including the main square, with the images doing the rounds on social media."
2118,Italy,have,Italy's refusal,"France had never before allowed a rescue vessel carrying migrants from the Mediterranean to land on France's coast, but did so this time because Italy had Italy's refusal to accept the migrants access."
2119,Jinko,work,CBP,"In an email, Jinko said Jinko is working with CBP on documentation proving Jinko's supplies are not linked to forced labor and is ""confident the shipments will be admitted. """
2120,the Biden administration,decarbonize,the U. S.  economy,"The bottleneck is a challenge to U. S.  solar development at a time the Biden administration is seeking to decarbonize the U. S.  economy and implement the Inflation Reduction Act (IRA), a new law that encourages clean energy technologies to combat climate change."
2121,the American Clean Power Association trade group,streamline,the Biden administration,the American Clean Power Association trade group urged the Biden administration to streamline the vetting process for imports.
2122,Chinese leader Xi Jinping,participate,G20 and APEC (Asia-Pacific Economic Cooperation) summits,"Chinese leader Xi Jinping plans to participate in G20 and APEC (Asia-Pacific Economic Cooperation) summits, according to a statement by Foreign Ministry Spokesperson Hua Chunying published on Friday."
2123,the Center,choose,Democratic incumbent Tony Evers,"In the Wisconsin governor's race, the Center for Information and Research on Civic Learning and Engagement (CIRCLE) estimated 79,000 young voters chose Democratic incumbent Tony Evers, who defeated Republican Tim Michels by just 89,000 votes."
